year,inflation,Trade_to_GDP,Exports_to_GDP,Imports_to_GDP,population,Exports_USD_current,Exports_USD_constant,Imports_USD_current,Imports_USD_constant,iso3c,IncomeGroup
1977,,26.4860798295929,11.6629043316852,14.8231754979077,13171306,344444451.111111,,437777795.555556,,AFG,Low income
1978,,24.7138040330125,10.8417502819894,13.8720537510231,13341198,357777771.111111,,457777788.888889,,AFG,Low income
1974,,28.8659801551706,14.0206189325114,14.8453612226592,12412950,302222222.222222,,3.2e+08,,AFG,Low income
1971,,27.0631374536424,10.922342255116,16.1407951985264,11475445,199999988.888889,,295555548.888889,,AFG,Low income
1972,,32.8690810352185,14.7632312416105,18.1058497936081,11791215,235555544.444444,,288888877.777778,,AFG,Low income
1973,,27.6923087928995,12.9487180787311,14.7435907141683,12108963,224444437.777778,,255555562.222222,,AFG,Low income
1975,,26.9483576711852,12.6760568934735,14.2723007777117,12689160,300000006.666667,,337777777.777778,,AFG,Low income
1976,,28.0869566604915,13.2173912468809,14.8695654136106,12943093,337777777.777778,,380000006.666667,,AFG,Low income
1974,,,,,63120,,,,,ATG,High income
1977,,85.6332166076156,40.7137723116574,44.9194442959582,62159,31551851.8518519,,34811111.1111111,,ATG,High income
1978,,101.915833065085,52.4709338210368,49.4448992440485,62036,46111111.1111111,,43451851.8518519,,ATG,High income
1975,,,,,62675,,,,,ATG,High income
1976,,,,,62367,,,,,ATG,High income
1972,,,,,64133,,,,,ATG,High income
1973,,,,,63650,,,,,ATG,High income
1987,,157.226913868377,67.3197236408799,89.9071902274969,61717,226985185.185185,,303144444.444444,,ATG,High income
1988,,137.80078694211,66.6083281695666,71.1924587725438,61771,265525925.925926,,283800000,,ATG,High income
1989,,143.540480568302,66.3036673747456,77.2368131935569,62008,290937037.037037,,338911111.111111,,ATG,High income
1990,,149.272131820549,75.1519592712122,74.120172549337,62528,345300000,,340559259.259259,,ATG,High income
1991,,151.074063796822,76.7818351906583,74.292228606164,63367,369862962.962963,,357870370.37037,,ATG,High income
1979,,132.967334810802,69.1609418237844,63.8063929870173,61952,75440740.7407407,,69600000,,ATG,High income
1980,,128.948074192257,56.3624736536927,72.5856005385639,61865,74077777.7777778,,95400000,,ATG,High income
1981,,142.106417637802,61.6449998909369,80.4614177468652,61800,91137037.037037,,118955555.555556,,ATG,High income
1982,,146.839641136599,56.9224149399658,89.9172261966327,61779,93562962.962963,,147796296.296296,,ATG,High income
1983,,115.974521767057,51.6237601231183,64.3507616439391,61787,94029629.6296296,,117211111.111111,,ATG,High income
1984,,133.021881885389,62.2388623057332,70.7830195796554,61786,129688888.888889,,147492592.592593,,ATG,High income
1985,,140.65912372213,62.9582477531324,77.7008759689975,61786,151681481.481481,,187200000,,ATG,High income
1986,,171.930627179148,70.8898542975095,101.040772881638,61754,205892592.592593,,293462962.962963,,ATG,High income
1960,,,,,54131,,,,,ATG,High income
1961,,,,,55001,,,,,ATG,High income
1962,,,,,55841,,,,,ATG,High income
1963,,,,,56702,,,,,ATG,High income
1964,,,,,57641,,,,,ATG,High income
1965,,,,,58698,,,,,ATG,High income
1966,,,,,59915,,,,,ATG,High income
1967,,,,,61241,,,,,ATG,High income
1968,,,,,62521,,,,,ATG,High income
1969,,,,,63550,,,,,ATG,High income
1970,,,,,64177,,,,,ATG,High income
1971,,,,,64357,,,,,ATG,High income
2010,3.3700254022015,104.706518479827,45.6023233993984,59.1041950804291,88028,523833888.888889,523833888.888889,678929888.888889,678929888.888889,ATG,High income
2011,3.45674967234599,103.646717367383,47.2695352940794,56.3771820733033,89253,537755740.740741,,641367703.703704,,ATG,High income
2012,3.37688044338879,103.780839295525,45.2797343095072,58.5011049860179,90409,543333333.333333,,701982925.925926,,ATG,High income
2013,1.05949782356168,107.185710568637,46.1768513845218,61.0088591841149,91516,545555555.555555,,720788037.037037,,ATG,High income
2014,1.08944157435363,106.689427077777,47.2693433858482,59.4200836919283,92562,590740740.740741,,742592592.592592,,ATG,High income
2015,0.968993458825572,95.2057205872981,45.0510131418897,50.1547074454084,93566,602193555.555556,,670414259.259259,,ATG,High income
2016,-0.489437796230552,90.1854320172838,42.3844610934366,47.8009709238472,94527,608888888.888889,,686701666.666667,,ATG,High income
2017,2.4324878904137,,,,95426,,,,,ATG,High income
2018,1.20982183506845,,,,96286,,,,,ATG,High income
2019,,,,,,,,,,ATG,High income
1993,,156.544805710029,82.0828718174435,74.4619338925851,65777,439285185.185185,,398500000,,ATG,High income
1994,,145.629808203147,74.0477344103989,71.5820737927484,67204,436459259.259259,,421925925.925926,,ATG,High income
1995,,145.602178284139,69.5688213835235,76.0333569006158,68670,401607407.407407,,438925925.925926,,ATG,High income
1996,,137.264769638368,63.5162959469811,73.7484736913867,70173,402522222.222222,,467366666.666667,,ATG,High income
1997,,135.403263117099,65.1304355491765,70.2728275679228,71704,443288888.888889,,478288888.888889,,ATG,High income
1998,,131.319408132489,64.0095101646449,67.3098979678445,73224,465900000,,489922222.222222,,ATG,High income
1999,1.12128789571146,130.795256680996,61.7110796727144,69.084177008282,74674,472829629.62963,,529322222.222222,,ATG,High income
2000,0.771779796900181,116.281789378355,56.2376666275398,60.0441227508151,76016,466861925.925926,,498461555.555556,,ATG,High income
2001,1.40279663573983,116.380689775623,55.6152970859788,60.7653926896441,77212,445334074.074074,,486572962.962963,,ATG,High income
2002,2.40765801293492,110.764539900541,52.5235996412576,58.2409402592835,78295,427865296.296296,,474439629.62963,,ATG,High income
2003,1.99353055152452,116.56601895806,54.0690294724817,62.4969894855782,79300,462637925.925926,,534751185.185185,,ATG,High income
2004,2.03007757853238,122.481460178376,58.067244514115,64.4142156642608,80336,533973111.111111,,592338407.407407,,ATG,High income
1992,,158.973000516075,81.5706076981343,77.402392817941,64471,407266666.666667,,386455555.555556,,ATG,High income
2006,1.78778537419116,118.113791647384,47.3783263032118,70.7354653441722,82704,548169814.814815,,818413185.185185,,ATG,High income
2007,1.41605259409743,115.423207450464,44.3258153364696,71.0973921139942,84026,581289333.333333,,932372148.148148,,ATG,High income
2008,5.33380639820232,115.283599454991,45.6996845102791,69.5839149447118,85397,625368666.666667,,952207888.888889,,ATG,High income
2009,-0.550159995508869,103.581582371424,45.8747920992245,57.7067902721996,86746,561623518.518518,,706477111.111111,,ATG,High income
2005,2.09875196709308,120.133080113112,53.3431826651277,66.7898974479844,81465,545269370.37037,,682720518.518518,,ATG,High income
2007,2.93268248162318,83.2021007868277,28.2478724381783,54.9542283486494,2970017,3016116154.41694,2562525040.31311,5867639633.34325,5344603314.14211,ALB,Upper middle income
2008,3.36313757366391,77.4517486294968,25.3024171795277,52.149331449969,2947314,3259293923.566,2543584442.98629,6717539984.69508,5749040281.36437,ALB,Upper middle income
2009,2.23139683475865,75.0948185576509,25.2407163937091,49.8541021639417,2927519,3040048284.81513,2799727429.46648,6004539467.51935,5825579970.05861,ALB,Upper middle income
2006,2.37072831904285,74.2670817296107,25.2096048388566,49.0574768907541,2992547,2242665086.02148,2115910236.45229,4364189416.47282,4374619608.72226,ALB,Upper middle income
2011,3.44283593170005,81.2185639373984,29.2415353404806,51.9770285969179,2905195,3769487586.10437,3559816195.28866,6700289905.34714,6150523397.00047,ALB,Upper middle income
2012,2.03642235579081,76.5102010189022,28.9374874447688,47.5727135741334,2900401,3565036151.17124,3570267490.50381,5860855888.9158,5738798342.06303,ALB,Upper middle income
2013,1.92544399507649,75.8737327762736,28.9163218930758,46.9574108831978,2895092,3694429570.91362,3626998818.50824,5999409191.1796,5701861907.85904,ALB,Upper middle income
2010,3.61538461538463,76.5433552386804,27.9794229573262,48.5639322813542,2913021,3337095377.55781,3337095377.55781,5792202154.39442,5792202154.39442,ALB,Upper middle income
2002,7.77052583431549,68.5250379172273,20.9456069096275,47.5794310075998,3051010,910729684.956035,1217136323.75183,2068787044.40985,2921651649.47025,ALB,Upper middle income
2003,0.484002611818483,67.0206085093238,20.8474012180999,46.1732072912239,3039616,1169850310.53175,1397575588.53299,2591005963.89867,3192959749.42369,ALB,Upper middle income
2004,2.28001916938101,67.047228208342,22.2175743136482,44.8296538946938,3026939,1596261928.9261,1636958541.9545,3220867804.41529,3540943469.27544,ALB,Upper middle income
2005,2.36658195679796,70.8723282677903,23.0129851376812,47.8593431301091,3011487,1853022970.79312,1991451831.1198,3853670510.65232,4017748084.40546,ALB,Upper middle income
1992,226.005421253526,108.785472241159,12.4995914932505,96.2858807479086,3247039,81519209.6758072,,627952433.94529,,ALB,Upper middle income
1993,85.0047512387157,80.518332770413,15.9788298133865,64.5395029570264,3227287,189399541.45744,,764996711.818738,,ALB,Upper middle income
1994,22.5650526933696,53.1025847356112,11.983694347693,41.1188903879182,3207536,225407481.032684,,773426393.922004,,ALB,Upper middle income
1995,7.79321853789213,47.6105948729712,12.6408294970517,34.9697653759195,3187784,302465325.386337,,836744255.238814,,ALB,Upper middle income
1996,12.7254778087103,44.895427261101,11.6203287166108,33.2750985444902,3168033,371808985.54913,379926688.821241,1064684221.5564,1163340524.59004,ALB,Upper middle income
1997,33.1802743753956,45.4255233483672,10.1971198968117,35.2284034515555,3148281,230303544.648943,310490867.492043,795638991.138378,1062239124.11821,ALB,Upper middle income
1998,20.6428588670596,48.1374835354003,11.4671540412496,36.6703294941507,3128530,291949986.768987,442136335.297355,933614580.576872,1452047810.00689,ALB,Upper middle income
1999,0.389437653561606,51.0110717547709,16.8417766314233,34.1692951233476,3108778,540977914.554671,746965556.821287,1097558435.916,1703248557.77187,ALB,Upper middle income
2000,0.0500181363468431,63.4540743986735,20.1152859466058,43.3387884520677,3089027,700083398.144547,1014568730.49288,1508343772.56819,2370043082.1156,ALB,Upper middle income
2001,3.10758827031435,66.4910464537142,21.3334180260315,45.1576284276827,3060173,836717875.539468,1138195979.46437,1771127105.66616,2616967227.07348,ALB,Upper middle income
1960,,,,,1608800,,,,,ALB,Upper middle income
1961,,,,,1659800,,,,,ALB,Upper middle income
1962,,,,,1711319,,,,,ALB,Upper middle income
1963,,,,,1762621,,,,,ALB,Upper middle income
1964,,,,,1814135,,,,,ALB,Upper middle income
1965,,,,,1864791,,,,,ALB,Upper middle income
1966,,,,,1914573,,,,,ALB,Upper middle income
1967,,,,,1965598,,,,,ALB,Upper middle income
1968,,,,,2022272,,,,,ALB,Upper middle income
1969,,,,,2081695,,,,,ALB,Upper middle income
1970,,,,,2135479,,,,,ALB,Upper middle income
1971,,,,,2187853,,,,,ALB,Upper middle income
2014,1.61304235314414,75.4078655927631,28.2130089398471,47.194856652916,2889104,3732085757.19194,3668810926.68209,6243050952.22565,5944692234.86671,ALB,Upper middle income
2015,1.91001697792868,71.8010303683204,27.2673995792754,44.533630789045,2880703,3104919070.05989,3704374598.31205,5071012330.82038,5773770209.47426,ALB,Upper middle income
2016,1.27512528113289,74.8098562184715,28.9778966171154,45.8319596013561,2876101,3437170827.66437,4124472850.70486,5436290859.82138,6173322050.7926,ALB,Upper middle income
2017,1.99392810482024,78.1613119781439,31.5566461436108,46.6046658345331,2873457,4110273661.47858,4658314603.93087,6070288002.40471,6671154186.59873,ALB,Upper middle income
2018,2.02079042583029,77.0824018603293,31.684671361915,45.3977304984143,2866376,4785177777.03696,4807222205.11775,6856192656.30267,6929359685.34604,ALB,Upper middle income
2019,,,,,,,,,,ALB,Upper middle income
1978,,,,,2566266,,,,,ALB,Upper middle income
1979,,,,,2617832,,,,,ALB,Upper middle income
1980,,47.4940925041872,23.9574919106695,23.5366005935177,2671997,,,,,ALB,Upper middle income
1981,,46.1004662837047,23.8105066597225,22.2899596239822,2726056,,,,,ALB,Upper middle income
1982,,44.8105616083383,20.0729179060642,24.7376437022741,2784278,,,,,ALB,Upper middle income
1983,,40.4106676033234,18.8520751406844,21.558592462639,2843960,,,,,ALB,Upper middle income
1984,,38.1156830212927,18.0403314265347,20.075351594758,2904429,335069933.049631,,372867136.182956,,ALB,Upper middle income
1985,,35.9348239721958,16.8203725696072,19.1144514025886,2964762,319090900.273501,,362610725.835338,,ALB,Upper middle income
1986,,31.6373048780561,15.6061801305352,16.0311247475208,3022635,327312512.5,,336224987.5,,ALB,Upper middle income
1987,,32.159563916938,16.0299218388153,16.1296420781227,3083605,333550012.5,,335624987.5,,ALB,Upper middle income
1988,,36.89787073527,16.9793941336596,19.9184766016104,3142336,348287487.5,,408575012.5,,ALB,Upper middle income
1989,,40.066086463479,18.5933534612466,21.4727330022325,3227943,418924987.5,,483800000,,ALB,Upper middle income
1990,,39.4369634031142,15.4050638293415,24.0318995737727,3286542,312500000,,487500000,,ALB,Upper middle income
1991,,36.0705200632829,7.48481872467814,28.5857013386048,3266790,82300000,,314316659.722222,,ALB,Upper middle income
1973,,,,,2296752,,,,,ALB,Upper middle income
1974,,,,,2350124,,,,,ALB,Upper middle income
1975,,,,,2404831,,,,,ALB,Upper middle income
1972,,,,,2243126,,,,,ALB,Upper middle income
1977,,,,,2513546,,,,,ALB,Upper middle income
1976,,,,,2458526,,,,,ALB,Upper middle income
1975,,,,,2832759,,,,,ARM,Upper middle income
1976,,,,,2889579,,,,,ARM,Upper middle income
1974,,,,,2773748,,,,,ARM,Upper middle income
1979,,,,,3049109,,,,,ARM,Upper middle income
1980,,,,,3099754,,,,,ARM,Upper middle income
1977,,,,,2944383,,,,,ARM,Upper middle income
1978,,,,,2997417,,,,,ARM,Upper middle income
1987,,,,,3451947,,,,,ARM,Upper middle income
1988,,,,,3504659,,,,,ARM,Upper middle income
1989,,,,,3536474,,,,,ARM,Upper middle income
1990,,81.3357185450209,35.0029815146094,46.3327370304115,3538171,789960888.429774,,1045655213.47519,,ARM,Upper middle income
1991,,100.865855188857,40.7453883799724,60.1204668088844,3505258,842829165.092108,,1243607801.03366,,ARM,Upper middle income
1992,,101.076759405526,39.8207550211161,61.2560043844096,3442817,506749951.25833,,779530102.320233,,ARM,Upper middle income
1993,,107.973146280234,47.2189758700553,60.7541704101782,3363108,567247790.509983,,729847869.303232,,ARM,Upper middle income
1981,,,,,3148096,,,,,ARM,Upper middle income
1982,,,,,3193689,,,,,ARM,Upper middle income
1983,,,,,3238595,,,,,ARM,Upper middle income
1984,,,,,3285599,,,,,ARM,Upper middle income
1985,,,,,3335940,,,,,ARM,Upper middle income
1986,,,,,3392264,,,,,ARM,Upper middle income
1960,,,,,1874121,,,,,ARM,Upper middle income
1961,,,,,1941492,,,,,ARM,Upper middle income
1962,,,,,2009526,,,,,ARM,Upper middle income
1963,,,,,2077578,,,,,ARM,Upper middle income
1964,,,,,2145001,,,,,ARM,Upper middle income
1965,,,,,2211319,,,,,ARM,Upper middle income
1966,,,,,2276034,,,,,ARM,Upper middle income
1967,,,,,2339127,,,,,ARM,Upper middle income
1968,,,,,2401143,,,,,ARM,Upper middle income
1969,,,,,2462928,,,,,ARM,Upper middle income
1970,,,,,2525068,,,,,ARM,Upper middle income
1971,,,,,2587708,,,,,ARM,Upper middle income
1972,,,,,2650486,,,,,ARM,Upper middle income
1973,,,,,2712786,,,,,ARM,Upper middle income
2013,5.78966778544654,76.5561957927212,28.3591264995539,48.1970692931673,2897584,3153950545.58344,2626791404.39007,5360220562.33288,3904206309.69469,ARM,Upper middle income
2014,2.98130868933673,75.6116848388122,28.5651387020776,47.0465461367346,2912403,3316273473.87645,2794906054.18219,5461874861.45165,3865164246.52436,ARM,Upper middle income
2015,3.73169119261695,71.5932653468932,29.7279964768255,41.8652688700677,2925553,3137295851.61313,2931856450.83218,4418183191.56224,3281524445.39845,ARM,Upper middle income
2016,-1.40360755900906,75.9178800280663,33.1480049458355,42.7698750822308,2936146,3495833404.44157,3491841033.00632,4510568833.94847,3530920303.30126,ARM,Upper middle income
2017,0.969553268816231,86.8301413895134,37.3295031193586,49.5006382701548,2944809,4303143004.87823,4144815306.18447,5706165566.36568,4399526697.85427,ARM,Upper middle income
2018,2.52023382001631,91.2889618836494,37.806510148503,53.4824517351464,2951776,4700517402.0166,4265014950.14608,6649521315.1411,4962666115.07147,ARM,Upper middle income
2019,,,,,,,,,,ARM,Upper middle income
2006,2.89235662459002,62.6091930629355,23.3589858676515,39.250207195284,2958307,1491343148.40578,2029926239.12067,2505910483.69341,3796192331.62098,ARM,Upper middle income
1994,3373.75944336293,112.429364602262,39.3280393523261,73.1013252499359,3283667,517226119.394369,1235717831.10257,961398417.116201,2617439515.02575,ARM,Upper middle income
1995,175.951325534583,86.1148570667578,23.9279208283617,62.1869362383961,3217348,351337813.033468,640401408.604957,913101574.26435,1851131324.07256,ARM,Upper middle income
