Year;ISO_Code;Tariffs;Regulatory trade barriers;Black market exchange rates;Controls of the movement of capital and people;Freedom to Trade Internationally;;
2017;COD;7,75;2,21;10,00;2,27;5,56;;
2017;COG;7,99;2,01;10,00;1,54;5,39;;
2017;CRI;7,96;6,16;10,00;7,71;7,96;;
2017;CIV;6,56;3,90;10,00;3,22;5,92;;
2017;HRV;8,53;8,33;10,00;5,88;8,18;;
2017;CYP;8,23;7,88;10,00;7,00;8,27;;
2017;CZE;8,23;8,40;10,00;6,26;8,22;;
2017;DNK;8,23;8,27;10,00;7,37;8,47;;
2017;DOM;7,92;7,03;10,00;6,79;7,94;;
2017;ECU;6,34;4,24;10,00;5,50;6,52;;
2017;EGY;4,82;3,70;10,00;4,71;5,81;;
2017;SLV;8,22;6,65;10,00;5,66;7,63;;
2017;EST;8,23;8,46;10,00;6,98;8,42;;
2017;ETH;5,01;3,99;10,00;1,53;5,13;;
2017;FJI;4,70;6,01;10,00;5,00;6,43;;
2017;FIN;8,23;8,49;10,00;6,16;8,22;;
2017;FRA;8,23;7,66;10,00;6,77;8,16;;
2017;GAB;6,28;4,57;10,00;2,79;5,91;;
2017;GMB;6,61;5,04;8,89;8,24;7,19;;
2017;GEO;9,29;8,05;10,00;7,62;8,74;;
2017;DEU;8,23;8,00;10,00;5,92;8,04;;
2017;GHA;7,29;4,80;10,00;4,27;6,59;;
2017;GRC;8,23;7,96;10,00;4,51;7,68;;
2017;GTM;8,56;6,19;10,00;7,36;8,03;;
2017;GIN;7,31;3,22;10,00;3,18;5,93;;
2017;GNB;7,29;6,18;10,00;1,16;6,16;;
2017;GUY;6,47;3,34;10,00;5,34;6,29;;
2017;HTI;7,01;6,11;10,00;6,78;7,47;;
2017;HND;8,41;4,85;10,00;5,63;7,22;;
2017;HKG;10,00;8,88;10,00;8,46;9,33;;
2017;HUN;8,23;7,70;10,00;5,95;7,97;;
2017;ISL;7,03;7,01;10,00;5,09;7,28;;
2017;IND;6,15;6,12;10,00;2,06;6,08;;
2017;IDN;7,89;4,70;10,00;5,19;6,95;;
2017;IRN;4,07;4,66;9,30;1,68;4,93;;
2017;IRQ;9,73;3,58;7,71;1,15;5,54;;
2017;IRL;8,23;7,85;10,00;8,18;8,56;;
2017;ISR;8,59;6,65;10,00;7,66;8,22;;
2017;ITA;8,23;8,17;10,00;6,57;8,24;;
2017;JAM;5,04;6,12;10,00;6,19;6,84;;
2017;JPN;7,66;7,49;10,00;7,59;8,18;;
2017;JOR;7,05;5,87;10,00;7,25;7,54;;
2017;KAZ;7,67;5,78;10,00;3,01;6,62;;
2017;KEN;6,72;5,52;10,00;4,56;6,70;;
2017;KOR;5,61;7,55;10,00;7,21;7,59;;
2017;KWT;8,72;4,44;10,00;3,88;6,76;;
2017;KGZ;8,10;6,44;10,00;4,91;7,36;;
2017;LAO;8,22;6,42;10,00;5,54;7,54;;
2017;LVA;8,23;8,14;10,00;7,08;8,36;;
2017;LBN;7,64;4,08;10,00;5,29;6,75;;
2017;LSO;5,54;6,66;10,00;3,60;6,45;;
2017;LBR;7,14;2,33;10,00;5,34;6,20;;
2017;LBY;;5,01;0,00;2,04;2,35;;
2017;LTU;8,23;7,73;10,00;6,84;8,20;;
2017;LUX;8,23;8,38;10,00;6,62;8,31;;
2017;MKD;8,25;7,41;10,00;5,89;7,89;;
2017;MDG;7,79;3,51;10,00;5,37;6,67;;
2017;MWI;7,27;5,37;8,96;4,88;6,62;;
2017;MYS;7,78;7,55;10,00;5,82;7,79;;
2017;MLI;7,54;4,88;10,00;5,06;6,87;;
2017;MLT;8,23;8,20;10,00;7,25;8,42;;
2017;MRT;7,38;4,09;10,00;2,62;6,02;;
2017;MUS;9,49;7,37;10,00;7,04;8,48;;
2017;MEX;8,11;7,17;10,00;5,29;7,64;;
2017;MDA;8,72;7,15;10,00;4,05;7,48;;
2017;MNG;8,95;3,80;10,00;4,17;6,73;;
2017;MNE;8,32;7,51;10,00;6,86;8,17;;
2017;MAR;6,84;6,52;10,00;4,97;7,08;;
2017;MOZ;8,05;5,88;10,00;2,15;6,52;;
2017;MMR;8,43;0,89;10,00;1,54;5,21;;
2017;NAM;6,22;5,49;10,00;4,22;6,48;;
2017;NPL;6,01;5,86;10,00;4,64;6,63;;
2017;NLD;8,23;8,52;10,00;7,88;8,66;;
2017;NZL;9,12;8,13;10,00;7,19;8,61;;
2017;NIC;8,48;5,51;10,00;7,22;7,80;;
2017;NER;6,13;4,71;10,00;1,44;5,57;;
2017;NGA;7,24;3,06;9,36;4,63;6,08;;
2017;NOR;6,22;7,71;10,00;6,34;7,57;;
2017;OMN;7,85;6,84;10,00;5,98;7,67;;
2017;PAK;7,13;4,09;10,00;2,16;5,85;;
2017;PAN;7,83;7,55;10,00;9,23;8,65;;
2017;PNG;7,25;5,10;10,00;6,93;7,32;;
2017;PRY;7,95;5,72;10,00;5,61;7,32;;
2017;PER;9,22;5,77;10,00;8,00;8,24;;
2017;PHL;7,78;5,49;10,00;5,39;7,16;;
2017;POL;8,23;7,89;10,00;5,44;7,89;;
2017;PRT;8,23;8,68;10,00;6,48;8,35;;
2017;QAT;8,27;7,05;10,00;4,85;7,54;;
2017;ROU;8,23;8,00;10,00;7,49;8,43;;
2017;RUS;7,15;6,00;10,00;4,19;6,83;;
2017;RWA;7,10;5,44;10,00;5,91;7,11;;
2017;SAU;7,15;5,86;10,00;2,25;6,32;;
2017;SEN;7,35;5,67;10,00;3,79;6,70;;
2017;SRB;8,32;7,46;10,00;4,71;7,62;;
2017;SYC;5,76;5,68;9,59;8,14;7,29;;
2017;SLE;7,92;3,94;10,00;2,34;6,05;;
2017;SGP;10,00;8,69;10,00;8,48;9,29;;
2017;SVK;8,23;7,96;10,00;7,00;8,30;;
2017;SVN;8,23;8,09;10,00;5,27;7,90;;
2017;ZAF;7,37;5,07;10,00;5,02;6,87;;
2017;ESP;8,23;8,13;10,00;5,86;8,05;;
2017;LKA;6,27;5,24;10,00;1,80;5,83;;
2017;SDN;4,80;0,92;0,00;3,52;2,31;;
2017;SUR;7,48;6,77;10,00;4,64;7,22;;
2017;SWZ;4,69;7,83;10,00;5,51;7,01;;
2017;SWE;8,23;8,35;10,00;6,14;8,18;;
2017;CHE;6,21;8,06;10,00;6,19;7,62;;
2017;SYR;5,23;3,71;9,13;1,80;4,97;;
2017;TWN;7,70;7,59;10,00;5,61;7,73;;
2017;TJK;8,47;4,69;8,00;2,61;5,94;;
2017;TZA;6,62;2,82;10,00;5,51;6,24;;
2017;THA;7,40;6,87;10,00;4,69;7,24;;
2017;TLS;9,73;4,49;10,00;6,90;7,78;;
2017;TGO;7,39;4,08;10,00;1,21;5,67;;
2017;TTO;7,52;6,31;10,00;7,40;7,81;;
2017;TUN;7,26;6,00;8,59;5,20;6,76;;
2017;TUR;5,96;7,61;10,00;5,52;7,27;;
2017;UGA;6,80;5,32;10,00;8,40;7,63;;
2017;UKR;8,84;5,70;9,36;3,22;6,78;;
2017;ARE;8,44;7,64;10,00;6,10;8,05;;
2017;GBR;8,23;8,15;10,00;7,33;8,43;;
2017;USA;8,44;8,40;10,00;3,86;7,67;;
2017;URY;7,75;5,96;10,00;7,73;7,86;;
2017;VEN;7,26;2,04;0,00;3,44;3,18;;
2017;VNM;7,56;5,28;10,00;2,24;6,27;;
2017;YEM;8,40;7,02;4,80;3,49;5,93;;
2017;ZMB;5,83;3,86;10,00;8,71;7,10;;
2017;ZWE;4,79;3,09;3,00;4,12;3,75;;
2016;ALB;8,96;7,49;10,00;6,41;8,21;;
2016;DZA;6,87;2,48;5,56;1,59;4,13;;
2016;AGO;6,99;2,02;10,00;2,04;5,26;;
2016;ARG;6,42;4,81;10,00;4,70;6,48;;
2016;ARM;8,61;7,19;10,00;6,83;8,16;;
2016;AUS;8,82;7,43;10,00;3,86;7,53;;
2016;AUT;8,27;8,25;10,00;5,91;8,11;;
2016;AZE;8,00;6,80;10,00;4,09;7,22;;
2016;BHS;3,45;8,11;10,00;5,38;6,73;;
2016;BHR;8,52;6,30;10,00;4,79;7,40;;
2016;BGD;6,31;3,24;10,00;4,38;5,98;;
2016;BRD;7,12;5,66;10,00;5,42;7,05;;
2016;BLR;7,70;9,73;10,00;1,27;7,18;;
2016;BEL;8,27;8,06;10,00;6,48;8,20;;
2016;BLZ;6,62;6,87;10,00;4,71;7,05;;
2016;BEN;6,81;4,71;10,00;2,59;6,03;;
2016;BTN;6,47;7,43;10,00;1,42;6,33;;
2016;BOL;7,75;3,98;10,00;6,22;6,99;;
2016;BIH;8,55;7,17;10,00;5,42;7,78;;
2016;BWA;6,37;7,51;10,00;7,26;7,79;;
2016;BRA;7,34;5,51;10,00;5,23;7,02;;
2016;BRN;9,26;3,76;10,00;5,20;7,05;;
2016;BGR;8,27;7,60;10,00;6,62;8,12;;
2016;BFA;7,14;4,54;10,00;4,51;6,55;;
2016;BDI;6,90;2,40;10,00;5,14;6,11;;
2016;KHM;7,64;4,60;10,00;7,05;7,32;;
2016;CMR;5,50;2,36;10,00;2,36;5,05;;
2016;CAN;7,05;7,92;10,00;6,75;7,93;;
2016;CPV;6,70;5,79;10,00;6,32;7,20;;
2016;CAF;4,49;2,64;10,00;1,49;4,65;;
2016;TCD;6,31;2,03;10,00;2,15;5,12;;
2016;CHL;9,47;7,03;10,00;6,57;8,27;;
2016;CHN;8,22;6,22;10,00;2,40;6,71;;
2016;COL;7,83;4,32;9,53;5,57;6,81;;
2016;COD;7,75;2,02;10,00;2,27;5,51;;
2016;COG;7,99;0,00;10,00;1,54;4,88;;
2016;CRI;7,93;6,09;10,00;7,96;7,99;;
2016;CIV;6,56;2,93;10,00;3,22;5,68;;
2016;HRV;8,57;8,31;10,00;5,88;8,19;;
2016;CYP;8,27;7,87;10,00;7,00;8,28;;
2016;CZE;8,27;8,42;10,00;6,26;8,23;;
2016;DNK;8,27;8,21;10,00;7,37;8,46;;
2016;DOM;7,91;7,08;10,00;6,79;7,95;;
2016;ECU;6,32;4,18;10,00;5,50;6,50;;
2016;EGY;4,90;3,68;9,18;4,71;5,62;;
2016;SLV;8,21;6,57;10,00;5,92;7,67;;
2016;EST;8,27;8,49;10,00;6,98;8,43;;
2016;ETH;5,01;3,46;10,00;1,53;5,00;;
2016;FJI;4,66;6,42;10,00;5,00;6,52;;
2016;FIN;8,27;8,50;10,00;6,16;8,23;;
2016;FRA;8,27;7,68;10,00;6,77;8,18;;
2016;GAB;6,28;3,70;10,00;2,79;5,69;;
2016;GMB;6,48;5,19;10,00;8,24;7,48;;
2016;GEO;9,29;7,60;10,00;7,36;8,56;;
2016;DEU;8,27;8,01;10,00;5,92;8,05;;
2016;GHA;7,29;4,41;10,00;4,27;6,49;;
2016;GRC;8,27;7,94;10,00;4,51;7,68;;
2016;GTM;8,56;6,30;10,00;7,87;8,18;;
2016;GIN;7,41;3,13;6,58;3,18;5,08;;
2016;GNB;7,45;4,33;10,00;1,16;5,74;;
2016;GUY;6,47;3,84;10,00;5,34;6,41;;
2016;HTI;7,01;6,22;10,00;6,78;7,50;;
2016;HND;8,41;4,83;10,00;5,63;7,22;;
2016;HKG;10,00;8,84;10,00;8,46;9,32;;
2016;HUN;8,27;7,60;10,00;5,95;7,95;;
2016;ISL;7,32;7,01;10,00;4,32;7,16;;
2016;IND;6,29;3,94;10,00;2,06;5,57;;
2016;IDN;7,94;4,86;10,00;5,19;7,00;;
2016;IRN;4,07;2,62;10,00;1,68;4,59;;
2016;IRQ;9,73;0,46;9,61;1,15;5,24;;
2016;IRL;8,27;7,95;10,00;8,18;8,60;;
2016;ISR;8,51;6,67;10,00;7,66;8,21;;
2016;ITA;8,27;8,17;10,00;6,57;8,25;;
2016;JAM;5,04;6,19;10,00;6,19;6,86;;
2016;JPN;7,67;7,29;10,00;7,59;8,14;;
2016;JOR;7,11;5,97;10,00;7,25;7,58;;
2016;KAZ;7,78;5,30;10,00;3,01;6,52;;
2016;KEN;6,74;5,44;10,00;4,56;6,69;;
2016;KOR;5,60;7,48;10,00;7,21;7,57;;
2016;KWT;8,78;4,45;10,00;4,14;6,84;;
2016;KGZ;8,13;6,23;10,00;4,91;7,32;;
2016;LAO;8,14;3,54;10,00;5,58;6,82;;
2016;LVA;8,27;8,05;10,00;7,08;8,35;;
2016;LBN;7,83;4,15;10,00;5,29;6,82;;
2016;LSO;5,53;6,79;10,00;3,85;6,54;;
2016;LBR;7,14;2,28;10,00;5,34;6,19;;
2016;LBY;;4,88;7,37;2,04;4,76;;
2016;LTU;8,27;7,66;10,00;6,84;8,19;;
2016;LUX;8,27;8,35;10,00;6,62;8,31;;
2016;MKD;8,25;7,69;10,00;5,89;7,96;;
2016;MDG;7,75;4,59;10,00;5,37;6,93;;
2016;MWI;7,40;5,39;6,64;4,88;6,08;;
2016;MYS;7,35;6,97;10,00;5,82;7,54;;
2016;MLI;7,60;4,84;10,00;5,06;6,87;;
2016;MLT;8,27;8,17;10,00;7,25;8,42;;
2016;MRT;7,38;3,75;10,00;2,62;5,94;;
2016;MUS;9,41;7,25;10,00;7,04;8,43;;
2016;MEX;7,96;5,79;10,00;5,29;7,26;;
2016;MDA;8,69;7,10;10,00;4,05;7,46;;
2016;MNG;9,02;3,80;10,00;4,42;6,81;;
2016;MNE;8,25;7,53;10,00;6,86;8,16;;
2016;MAR;6,77;5,97;10,00;4,97;6,93;;
2016;MOZ;7,97;5,47;10,00;2,15;6,40;;
2016;MMR;8,37;2,93;10,00;1,54;5,71;;
2016;NAM;6,19;5,58;10,00;4,22;6,50;;
2016;NPL;5,98;5,92;10,00;4,64;6,64;;
2016;NLD;8,27;8,48;10,00;7,88;8,66;;
2016;NZL;9,13;8,22;10,00;7,19;8,64;;
2016;NIC;8,46;5,59;10,00;7,22;7,82;;
2016;NER;6,13;4,37;10,00;1,44;5,49;;
2016;NGA;7,24;3,15;8,45;4,78;5,90;;
2016;NOR;6,22;7,79;10,00;6,34;7,59;;
2016;OMN;8,03;6,82;10,00;5,98;7,71;;
2016;PAK;7,13;4,01;10,00;2,16;5,83;;
2016;PAN;7,90;7,66;10,00;9,23;8,70;;
2016;PNG;7,25;4,60;10,00;6,93;7,20;;
2016;PRY;8,00;5,55;10,00;5,61;7,29;;
2016;PER;9,20;5,73;10,00;8,00;8,23;;
2016;PHL;7,75;5,37;10,00;5,39;7,13;;
2016;POL;8,27;7,95;10,00;5,44;7,91;;
2016;PRT;8,27;8,76;10,00;6,48;8,38;;
2016;QAT;8,44;7,31;10,00;4,85;7,65;;
2016;ROU;8,27;8,01;10,00;7,49;8,44;;
2016;RUS;6,94;5,72;10,00;4,70;6,84;;
2016;RWA;7,05;5,36;10,00;5,65;7,02;;
2016;SAU;8,00;3,78;10,00;2,25;6,01;;
2016;SEN;7,37;5,50;10,00;3,79;6,67;;
2016;SRB;8,32;7,38;10,00;4,71;7,60;;
2016;SYC;8,19;5,68;9,03;8,14;7,76;;
2016;SLE;7,92;3,97;10,00;2,34;6,06;;
2016;SGP;10,00;8,68;10,00;8,48;9,29;;
2016;SVK;8,27;7,86;10,00;7,00;8,28;;
2016;SVN;8,27;8,00;10,00;5,27;7,88;;
2016;ZAF;7,46;4,65;10,00;5,02;6,78;;
2016;ESP;8,27;8,07;10,00;5,86;8,05;;
2016;LKA;5,91;5,85;10,00;1,80;5,89;;
2016;SDN;7,07;0,92;0,00;3,52;2,88;;
2016;SUR;7,48;6,70;10,00;4,64;7,20;;
2016;SWZ;4,68;7,87;10,00;5,51;7,02;;
2016;SWE;8,27;8,39;10,00;6,14;8,20;;
2016;CHE;6,22;8,14;10,00;6,19;7,64;;
2016;SYR;5,23;4,03;8,59;1,80;4,91;;
2016;TWN;7,71;7,60;10,00;5,61;7,73;;
2016;TJK;8,50;4,34;10,00;2,61;6,36;;
2016;TZA;6,88;2,81;10,00;4,99;6,17;;
2016;THA;6,96;6,78;10,00;4,69;7,11;;
2016;TLS;9,73;4,67;;6,90;7,10;;
2016;TGO;7,37;3,29;10,00;1,21;5,47;;
2016;TTO;7,52;6,44;10,00;7,40;7,84;;
2016;TUN;7,26;5,94;9,24;5,20;6,91;;
2016;TUR;5,94;7,40;10,00;5,52;7,22;;
2016;UGA;6,79;4,62;10,00;8,40;7,45;;
2016;UKR;8,83;4,19;10,00;3,22;6,56;;
2016;ARE;8,68;7,99;10,00;6,25;8,23;;
2016;GBR;8,27;8,16;10,00;7,33;8,44;;
2016;USA;8,39;8,37;10,00;3,86;7,65;;
2016;URY;7,73;5,71;10,00;7,73;7,79;;
2016;VEN;7,47;1,96;0,00;3,69;3,28;;
2016;VNM;7,56;5,31;10,00;2,24;6,28;;
2016;YEM;8,43;4,81;10,00;3,49;6,68;;
2016;ZMB;5,90;3,85;10,00;8,71;7,12;;
2016;ZWE;4,81;3,32;10,00;4,12;5,56;;
2015;ALB;8,86;7,42;10,00;6,16;8,11;;
2015;DZA;6,84;2,14;5,56;1,49;4,01;;
2015;AGO;6,99;1,57;10,00;2,04;5,15;;
2015;ARG;6,01;4,60;0,00;4,51;3,78;;
2015;ARM;8,68;7,30;10,00;6,91;8,22;;
2015;AUS;8,97;7,46;10,00;3,92;7,59;;
2015;AUT;8,36;8,18;10,00;5,95;8,12;;
2015;AZE;7,94;6,61;10,00;3,90;7,11;;
2015;BHS;3,33;8,11;10,00;5,38;6,71;;
2015;BHR;8,61;6,30;10,00;4,79;7,43;;
2015;BGD;6,54;3,04;10,00;4,29;5,97;;
2015;BRD;7,12;5,66;10,00;5,42;7,05;;
2015;BLR;;;;;;;
2015;BEL;8,36;8,29;10,00;6,39;8,26;;
2015;BLZ;6,66;6,87;10,00;4,71;7,06;;
2015;BEN;6,81;4,41;10,00;2,48;5,92;;
2015;BTN;6,50;7,25;10,00;1,30;6,26;;
2015;BOL;7,77;3,41;10,00;6,22;6,85;;
2015;BIH;8,57;7,26;10,00;5,28;7,78;;
2015;BWA;5,73;7,61;10,00;7,35;7,67;;
2015;BRA;7,26;5,14;10,00;5,24;6,91;;
2015;BRN;9,24;3,58;10,00;5,13;6,99;;
2015;BGR;8,36;7,62;10,00;6,55;8,13;;
2015;BFA;7,12;4,54;10,00;4,51;6,54;;
2015;BDI;6,90;2,54;10,00;4,98;6,10;;
2015;KHM;7,62;4,67;10,00;7,13;7,35;;
2015;CMR;5,50;1,96;10,00;2,39;4,96;;
2015;CAN;6,94;7,82;10,00;6,73;7,87;;
2015;CPV;6,70;5,21;10,00;6,28;7,05;;
2015;CAF;4,49;2,64;10,00;1,49;4,65;;
2015;TCD;6,31;2,11;10,00;2,20;5,16;;
2015;CHL;9,47;6,87;10,00;6,52;8,21;;
2015;CHN;8,11;6,06;10,00;2,36;6,63;;
2015;COL;8,00;4,42;9,53;5,68;6,91;;
2015;COD;7,75;1,61;10,00;2,44;5,45;;
2015;COG;7,30;0,00;10,00;1,54;4,71;;
2015;CRI;7,91;6,07;10,00;7,90;7,97;;
2015;CIV;6,74;2,93;10,00;3,22;5,72;;
2015;HRV;8,63;8,33;10,00;5,75;8,18;;
2015;CYP;8,36;7,75;10,00;6,77;8,22;;
2015;CZE;8,36;8,29;10,00;6,19;8,21;;
2015;DNK;8,36;7,95;10,00;7,35;8,42;;
2015;DOM;8,57;7,25;10,00;6,86;8,17;;
2015;ECU;6,31;4,21;10,00;5,61;6,53;;
2015;EGY;4,97;3,53;9,18;4,70;5,60;;
2015;SLV;8,24;6,50;10,00;5,95;7,67;;
2015;EST;8,90;8,25;10,00;7,00;8,54;;
2015;ETH;5,01;3,05;10,00;1,61;4,92;;
2015;FJI;4,87;6,42;10,00;5,00;6,57;;
2015;FIN;8,36;8,23;10,00;6,13;8,18;;
2015;FRA;8,36;7,69;10,00;6,71;8,19;;
2015;GAB;6,28;3,70;10,00;2,79;5,69;;
2015;GMB;6,48;5,01;10,00;8,03;7,38;;
2015;GEO;9,31;8,03;10,00;7,32;8,66;;
2015;DEU;8,36;7,56;10,00;5,77;7,92;;
2015;GHA;7,29;4,52;10,00;4,25;6,51;;
2015;GRC;8,36;7,67;10,00;4,51;7,64;;
2015;GTM;8,58;6,34;10,00;7,95;8,22;;
2015;GIN;7,41;3,39;6,58;2,43;4,95;;
2015;GNB;7,45;5,62;10,00;1,16;6,06;;
2015;GUY;6,47;3,84;10,00;5,34;6,41;;
2015;HTI;8,36;6,14;10,00;6,63;7,78;;
2015;HND;8,41;5,36;10,00;5,91;7,42;;
2015;HKG;10,00;8,39;10,00;8,52;9,23;;
2015;HUN;8,36;7,32;10,00;5,96;7,91;;
2015;ISL;7,28;7,11;10,00;4,22;7,15;;
2015;IND;6,26;3,92;10,00;2,06;5,56;;
2015;IDN;8,10;4,67;10,00;5,22;7,00;;
2015;IRN;4,07;2,65;10,00;1,42;4,53;;
2015;IRQ;;;;;;;
2015;IRL;8,36;8,23;10,00;8,46;8,76;;
2015;ISR;8,24;6,63;10,00;7,57;8,11;;
2015;ITA;8,36;8,07;10,00;6,59;8,26;;
2015;JAM;5,34;6,18;10,00;6,21;6,93;;
2015;JPN;7,71;7,06;10,00;7,52;8,07;;
2015;JOR;7,05;6,15;10,00;7,31;7,63;;
2015;KAZ;7,19;5,28;10,00;3,06;6,38;;
2015;KEN;6,74;5,26;10,00;4,49;6,62;;
2015;KOR;5,60;7,40;10,00;7,19;7,55;;
2015;KWT;8,78;4,01;10,00;4,17;6,74;;
2015;KGZ;8,27;6,46;10,00;4,88;7,40;;
2015;LAO;7,85;3,59;10,00;5,65;6,77;;
2015;LVA;8,36;7,90;10,00;7,13;8,35;;
2015;LBN;7,87;4,25;10,00;5,35;6,87;;
2015;LSO;4,69;7,00;10,00;4,17;6,47;;
2015;LBR;7,14;2,23;10,00;5,04;6,10;;
2015;LBY;;4,88;7,37;2,04;4,76;;
2015;LTU;8,36;7,59;10,00;6,84;8,20;;
2015;LUX;8,36;8,21;10,00;6,65;8,30;;
2015;MKD;8,23;7,69;10,00;5,89;7,95;;
2015;MDG;7,78;4,29;10,00;5,29;6,84;;
2015;MWI;7,05;5,36;6,64;4,95;6,00;;
2015;MYS;7,12;7,04;10,00;5,87;7,51;;
2015;MLI;7,55;4,86;10,00;5,00;6,85;;
2015;MLT;8,36;7,98;10,00;7,19;8,38;;
2015;MRT;7,38;3,90;10,00;2,52;5,95;;
2015;MUS;9,46;7,00;10,00;7,02;8,37;;
2015;MEX;7,83;7,08;10,00;5,31;7,56;;
2015;MDA;8,70;7,07;10,00;4,01;7,45;;
2015;MNG;9,20;3,91;10,00;4,42;6,88;;
2015;MNE;8,23;7,58;10,00;6,74;8,14;;
2015;MAR;6,80;5,70;10,00;4,90;6,85;;
2015;MOZ;7,89;5,52;10,00;2,22;6,41;;
2015;MMR;8,43;2,92;10,00;1,54;5,72;;
2015;NAM;5,58;5,66;10,00;4,27;6,38;;
2015;NPL;6,18;6,15;10,00;4,62;6,74;;
2015;NLD;8,36;8,20;10,00;7,89;8,61;;
2015;NZL;9,13;7,96;10,00;7,18;8,57;;
2015;NIC;8,47;5,65;10,00;7,13;7,81;;
2015;NER;6,13;4,37;10,00;1,44;5,49;;
2015;NGA;7,29;3,17;8,45;4,80;5,93;;
2015;NOR;6,19;7,96;10,00;6,46;7,65;;
2015;OMN;8,08;6,54;10,00;5,98;7,65;;
2015;PAK;7,15;3,87;10,00;2,07;5,77;;
2015;PAN;7,90;7,64;10,00;9,31;8,71;;
2015;PNG;7,25;4,60;10,00;6,93;7,20;;
2015;PRY;7,96;5,66;10,00;5,62;7,31;;
2015;PER;9,17;5,65;10,00;8,08;8,23;;
2015;PHL;7,70;5,41;10,00;5,44;7,14;;
2015;POL;8,36;7,95;10,00;5,49;7,95;;
2015;PRT;8,36;8,67;10,00;6,41;8,36;;
2015;QAT;8,53;6,85;10,00;4,87;7,56;;
2015;ROU;8,36;8,09;10,00;7,46;8,48;;
2015;RUS;6,48;5,29;10,00;4,66;6,61;;
2015;RWA;7,07;5,14;10,00;5,77;7,00;;
2015;SAU;8,38;3,74;10,00;2,18;6,07;;
2015;SEN;7,37;5,35;10,00;3,76;6,62;;
2015;SRB;8,32;7,39;10,00;4,57;7,57;;
2015;SYC;8,20;5,51;9,03;7,96;7,67;;
2015;SLE;7,92;2,84;10,00;2,53;5,82;;
2015;SGP;9,99;8,54;10,00;8,47;9,25;;
2015;SVK;8,36;7,85;10,00;7,00;8,30;;
2015;SVN;8,36;8,00;10,00;5,13;7,87;;
2015;ZAF;7,37;4,92;10,00;5,22;6,88;;
2015;ESP;8,36;7,89;10,00;5,79;8,01;;
2015;LKA;6,05;5,52;10,00;1,95;5,88;;
2015;SDN;;;;;;;
2015;SUR;7,48;6,70;10,00;4,64;7,20;;
2015;SWZ;4,64;7,87;10,00;5,34;6,96;;
2015;SWE;8,36;8,50;10,00;6,24;8,28;;
2015;CHE;6,19;7,86;10,00;6,13;7,54;;
2015;SYR;5,23;4,03;8,59;1,80;4,91;;
2015;TWN;7,66;7,10;10,00;5,54;7,57;;
2015;TJK;8,50;4,33;10,00;2,61;6,36;;
2015;TZA;7,11;2,98;10,00;5,12;6,30;;
2015;THA;6,95;6,69;10,00;4,63;7,07;;
2015;TLS;9,56;4,67;;6,90;7,04;;
2015;TGO;7,33;3,29;10,00;1,21;5,46;;
2015;TTO;7,52;6,31;10,00;7,41;7,81;;
2015;TUN;6,97;5,86;9,24;5,17;6,81;;
2015;TUR;6,00;7,40;10,00;5,52;7,23;;
2015;UGA;6,91;4,34;10,00;8,49;7,44;;
2015;UKR;8,60;4,25;10,00;3,19;6,51;;
2015;ARE;8,74;7,87;10,00;6,27;8,22;;
2015;GBR;8,36;7,93;10,00;7,38;8,42;;
2015;USA;8,38;8,07;10,00;3,70;7,54;;
